name,city,state,country,latitude,longitude,tees,holes,par,rating,slope,access_type,website
3 Creek Ranch Golf Club,Jackson,Wyoming,USA,43.4413,-110.819,"[{""name"":""Tour (M)"",""rating"":76,""par"":72,""slope"":140},{""name"":""Black (M)"",""rating"":74.7,""par"":72,""slope"":138},{""name"":""Gold (M)"",""rating"":73,""par"":72,""slope"":135},{""name"":""Rust (M)"",""rating"":71.1,""par"":72,""slope"":130},{""name"":""Silver (M)"",""rating"":68.2,""par"":72,""slope"":117},{""name"":""Red (M)"",""rating"":70.3,""par"":72,""slope"":125}]",18,72,,,Private,http://www.theclubat3creek.com
3 Creek Ranch Golf Club,Keller,Texas,USA,32.9240739,-97.2087096,"[{""name"":""Tour (M)"",""rating"":76,""par"":72,""slope"":140},{""name"":""Black (M)"",""rating"":74.7,""par"":72,""slope"":138},{""name"":""Gold (M)"",""rating"":73,""par"":72,""slope"":135},{""name"":""Rust (M)"",""rating"":71.1,""par"":72,""slope"":130},{""name"":""Silver (M)"",""rating"":68.2,""par"":72,""slope"":117},{""name"":""Red (M)"",""rating"":70.3,""par"":72,""slope"":125}]",18,72,,,Private,http://www.skycreekranch.com/
3 Lakes Golf Course,Pittsburgh,Pennsylvania,USA,40.48071166,-79.80172979,"[{""name"":""Black (M)"",""rating"":73.4,""par"":72,""slope"":140},{""name"":""Gold (M)"",""rating"":71.4,""par"":72,""slope"":135},{""name"":""Silver (M)"",""rating"":68.3,""par"":72,""slope"":126},{""name"":""Red (F)"",""rating"":72.2,""par"":72,""slope"":130}]",18,72,,,Public,http://www.3lakesgolf.com/
3 Par At Four Points,San Diego,California,USA,32.8108328,-117.1486343,"[{""name"":""White (M)"",""rating"":null,""par"":57,""slope"":null}]",9,27,,,Public,https://www.marriott.com/en-us/hotels/sanfp-four-points-san-diego/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0
3 Parks Fairways,Florence,Arizona,USA,33.07419782,-111.3786277,"[{""name"":""White (M)"",""rating"":null,""par"":29,""slope"":null}]",18,,,,Public,http://threeparksfairways.com
3 S Greenville,Greenville,South Carolina,USA,34.85974002,-82.34729348,"[{""name"":""3's (M)"",""rating"":null,""par"":36,""slope"":null},{""name"":""Fun (M)"",""rating"":null,""par"":36,""slope"":null}]",18,54,,,Public,http://3s.golf
3/30 Golf & Country Club,Lowden,Iowa,USA,41.8571376,-90.9162248,"[{""name"":""Championship (M)"",""rating"":null,""par"":36,""slope"":null}]",18,36,,,Private,http://www.330golfandcountryclub.com/
360 Ewa Beach Country Club,Ewa Beach,Hawaii,USA,21.3229597,-157.9974911,"[{""name"":""Championship (M)"",""rating"":73.1,""par"":72,""slope"":137},{""name"":""Blue (M)"",""rating"":71.1,""par"":72,""slope"":132},{""name"":""White (M)"",""rating"":69.1,""par"":72,""slope"":130},{""name"":""Gold (M)"",""rating"":66.6,""par"":72,""slope"":121},{""name"":""Red (M)"",""rating"":64.2,""par"":72,""slope"":116}]",18,72,,,Public,http://www.360ewabeachcc.com/
401 Par Golf,Raleigh,North Carolina,USA,35.70141141,-78.66865397,"[{""name"":""Middle (M)"",""rating"":null,""par"":27,""slope"":null}]",9,27,,,Public,http://401pargolf.com
5 by 80 Golf and Country Club,Menlo,Iowa,USA,41.4932299,-94.4472993,"[{""name"":""White (M)"",""rating"":null,""par"":35,""slope"":null},{""name"":""Red (F)"",""rating"":null,""par"":37,""slope"":null}]",18,,,,Private,https://www.5by80golf.com/
5 Hole Golf Course,Norfolk,Virginia,USA,37.815821,-79.107485,"[{""name"":""Green (M)"",""rating"":68,""par"":70,""slope"":116}]",18,70,,,Public,
5 holes,Kissimmee,Florida,USA,28.2802773,-81.6395661,"[{""name"":""Gold (M)"",""rating"":72,""par"":71,""slope"":135}]",18,71,,,Private,
7 Lakes Golf Club,Seven Lakes,North Carolina,USA,35.27279891,-79.56164718,"[{""name"":""Black (M)"",""rating"":74.1,""par"":72,""slope"":144},{""name"":""Blue (M)"",""rating"":72.6,""par"":72,""slope"":140},{""name"":""White tees (F)"",""rating"":76.4,""par"":72,""slope"":142},{""name"":""White (M)"",""rating"":70.3,""par"":72,""slope"":135},{""name"":""White/Gold (M)"",""rating"":68.3,""par"":72,""slope"":130},{""name"":""Gold (F)"",""rating"":72.1,""par"":72,""slope"":127},{""name"":""Gold (M)"",""rating"":66.4,""par"":72,""slope"":123},{""name"":""Red (F)"",""rating"":70.2,""par"":72,""slope"":124},{""name"":""Green/Red (F)"",""rating"":68.5,""par"":72,""slope"":119},{""name"":""Green (F)"",""rating"":65.4,""par"":72,""slope"":117}]",18,72,,,Semi-Private,http://golf7lakes.com
9-Hole Short/Executive Course,Brookings,South Dakota,USA,44.2892056,-96.7657811,[],18,,,,Public,
93 Golf Ranch,Jerome,Idaho,USA,42.695495,-114.441269,"[{""name"":""Gold (M)"",""rating"":73.4,""par"":72,""slope"":123},{""name"":""Blue (M)"",""rating"":71.3,""par"":72,""slope"":117},{""name"":""Blue (F)"",""rating"":77.4,""par"":72,""slope"":136},{""name"":""White (M)"",""rating"":68.3,""par"":72,""slope"":113},{""name"":""White (F)"",""rating"":73.9,""par"":72,""slope"":129},{""name"":""Red (M)"",""rating"":65.2,""par"":72,""slope"":104},{""name"":""Red (F)"",""rating"":70.2,""par"":72,""slope"":116}]",18,72,,,Semi-Private,http://www.93GolfRanch.net/
A Bar A Ranch Golf Course,Encampment,Wyoming,USA,41.16080876,-106.4749559,[],18,,,,Public,http://www.abararanch.com
A-Ga-Ming Golf Resort - Sundance,Kewadin,Michigan,USA,44.9317,-85.3508,"[{""name"":""Championship"",""rating"":73.2,""par"":72,""slope"":137},{""name"":""Tournament"",""rating"":71,""par"":72,""slope"":132},{""name"":""Member"",""rating"":68.7,""par"":72,""slope"":126}]",18,72,74.1,139,Public,
A. J. Jolly Golf Course,Alexandria,Kentucky,USA,38.8845477,-84.3781153,"[{""name"":""Blue (M)"",""rating"":70,""par"":71,""slope"":128},{""name"":""White (M)"",""rating"":68.2,""par"":71,""slope"":124},{""name"":""Red (F)"",""rating"":70.6,""par"":75,""slope"":125}]",18,71,,,Public,https://www.ajjolly.com
A. L. Gustin Golf Course,Columbia,Missouri,USA,38.9324318,-92.3475198,"[{""name"":""Black (M)"",""rating"":69.4,""par"":70,""slope"":119},{""name"":""Gold (M)"",""rating"":67.7,""par"":70,""slope"":114},{""name"":""White (M)"",""rating"":66.5,""par"":70,""slope"":112}]",18,70,,,Public,http://www.gustingolfcourse.com/
Abacoa Golf Club,Jupiter,Florida,USA,26.8885231,-80.1199148,"[{""name"":""Gold (M)"",""rating"":75,""par"":72,""slope"":142},{""name"":""Blue (M)"",""rating"":72.7,""par"":72,""slope"":138},{""name"":""White (M)"",""rating"":70.2,""par"":72,""slope"":132},{""name"":""Green (F)"",""rating"":73.5,""par"":72,""slope"":131},{""name"":""Green (M)"",""rating"":68.2,""par"":72,""slope"":128},{""name"":""Red (F)"",""rating"":71.1,""par"":72,""slope"":126}]",18,72,,,Public,http://www.abacoagolfclub.com/
Abbey Course At St Leo University The,St Leo,Florida,USA,28.3343507,-82.2594556,"[{""name"":""Middle (M)"",""rating"":null,""par"":71,""slope"":null},{""name"":""Forward (M)"",""rating"":null,""par"":71,""slope"":null}]",18,70,,,Public,http://www.abbeygolfcourse.com/
Abbey Springs Golf Course,Fontana,Illinois,USA,42.35873528,-88.48604924,"[{""name"":""Medal (M)"",""rating"":68.6,""par"":71,""slope"":122},{""name"":""Yellow (M)"",""rating"":67.9,""par"":71,""slope"":121},{""name"":""Ladies (M)"",""rating"":64.6,""par"":70,""slope"":111}]",18,71,,,Public,https://abbeysprings.org/
Abbey Springs Golf Course,Fontana,Wisconsin,USA,42.5482,-88.5485,[],18,71,72.9,137,Semi-Private,
Abenakee Club,Biddeford Pool,Maine,USA,44.96307,-69.088472,"[{""name"":""Blue (M)"",""rating"":null,""par"":36,""slope"":118},{""name"":""White (M)"",""rating"":null,""par"":36,""slope"":116},{""name"":""Red (M)"",""rating"":null,""par"":36,""slope"":118}]",9,36,,,Private,https://www.abenakee.com/
Abenaqui Country Club,Rye Beach,New Hampshire,USA,42.98087737,-70.77390081,"[{""name"":""Blue (M)"",""rating"":72.5,""par"":72,""slope"":132},{""name"":""White (F)"",""rating"":78.2,""par"":75,""slope"":140},{""name"":""White (M)"",""rating"":70.6,""par"":72,""slope"":126},{""name"":""Gold (F)"",""rating"":75.3,""par"":75,""slope"":133},{""name"":""Gold (M)"",""rating"":68,""par"":72,""slope"":116},{""name"":""Red (F)"",""rating"":73.8,""par"":75,""slope"":130}]",18,72,,,Private,http://www.abenaquicc.com
Aberdeen Country Club,Aberdeen,South Dakota,USA,45.4714,-98.5089,"[{""name"":""Blue"",""rating"":72.1,""par"":72,""slope"":128},{""name"":""White"",""rating"":70.4,""par"":72,""slope"":124},{""name"":""Red"",""rating"":68.2,""par"":72,""slope"":118}]",18,72,71.5,128,Private,
Aberdeen Country Club Highlands Meadows,Longs,South Carolina,USA,33.91629802,-78.71626854,"[{""name"":""Championship (M)"",""rating"":71.6,""par"":72,""slope"":128},{""name"":""Middle (M)"",""rating"":68.7,""par"":72,""slope"":119},{""name"":""Other (M)"",""rating"":67.7,""par"":72,""slope"":115},{""name"":""Forward (F)"",""rating"":67.5,""par"":72,""slope"":117}]",18,72,,,Semi-Private,http://playaberdeen.com
